idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
117,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,7,rsa2048,1,1.450539,1.106128,0.746517,0.849407,0.02765,0.00496,0.008576,0.102829,703,330,325,24,24
118,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,8,rsa2048,1,1.400532,1.065883,0.716766,0.823629,0.024344,0.0053,0.006853,0.100694,703,330,325,24,24
119,BaselineRSA-19-20260810-16:20:13-769471,BaselineRSA,19,19,19,9,rsa2048,1,1.377673,1.055425,0.676464,0.812629,0.024585,0.00519,0.006813,0.101085,703,330,325,24,24
120,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,0,rsa2048,1,1.414856,2.60776,0.703493,1.961175,0.058788,0.023654,0.025757,0.253104,703,330,325,24,24
121,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,1,rsa2048,1,1.404311,2.493249,0.698796,1.910702,0.060731,0.011882,0.018784,0.236494,703,330,325,24,24
122,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,2,rsa2048,1,1.403467,2.610606,0.708665,1.977855,0.072182,0.011871,0.022561,0.24575,703,330,325,24,24
123,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,3,rsa2048,1,1.395331,2.592412,0.674533,1.941428,0.080177,0.011892,0.02152,0.247794,703,330,325,24,24
124,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,4,rsa2048,1,1.397031,2.513176,0.695904,1.913528,0.055922,0.011612,0.018043,0.25135,703,330,325,24,24
125,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,5,rsa2048,1,1.434819,2.449651,0.689596,1.879916,0.057906,0.0115,0.0167,0.235702,703,330,325,24,24
126,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,6,rsa2048,1,1.385352,2.468485,0.691783,1.904181,0.056053,0.01134,0.016299,0.237185,703,330,325,24,24
127,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,7,rsa2048,1,1.420482,3.216275,0.697977,2.412353,0.083894,0.01613,0.036588,0.313305,703,330,325,24,24
128,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,8,rsa2048,1,1.434789,2.483741,0.715694,1.914199,0.056845,0.011522,0.017492,0.236834,703,330,325,24,24
129,BaselineRSA-2-20260810-16:20:02-769471,BaselineRSA,2,2,2,9,rsa2048,1,1.383609,2.464778,0.689609,1.874326,0.058037,0.011511,0.017101,0.254898,703,330,325,24,24
130,BaselineRSA-20-20260810-16:20:13-769471,BaselineRSA,20,20,20,0,rsa2048,1,1.432871,1.117799,0.734404,0.829951,0.024745,0.006091,0.013374,0.11953,703,330,325,24,24
131,BaselineRSA-20-20260810-16:20:13-769471,BaselineRSA,20,20,20,1,rsa2048,1,1.406116,1.038935,0.714571,0.790198,0.024735,0.00496,0.007183,0.106375,703,330,325,24,24
132,BaselineRSA-20-20260810-16:20:13-769471,BaselineRSA,20,20,20,2,rsa2048,1,1.414606,1.039745,0.708371,0.800808,0.023934,0.004818,0.006713,0.100003,703,330,325,24,24
133,BaselineRSA-20-20260810-16:20:13-769471,BaselineRSA,20,20,20,3,rsa2048,1,1.429703,1.03649,0.698406,0.799726,0.023663,0.004839,0.006552,0.099463,703,330,325,24,24
